City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
200,Ilhabela,BR,74.35,broken clouds,-23.7781,-45.3581,Vila Kebaya
203,Karratha,AU,89.38,scattered clouds,-20.7377,116.8463,Karratha International Hotel
205,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
208,Cairns,AU,81.07,light intensity shower rain,-16.9167,145.7667,Cairns Queens Court Accommodation
210,Dicabisagan,PH,73.29,overcast clouds,17.0818,122.4157,No hotel found
211,Souillac,MU,80.98,light rain,-20.5167,57.5167,Hotel SkylineInn
213,Manokwari,ID,78.71,light rain,-0.8667,134.0833,Hotel Arfak
214,Timon,BR,73.18,moderate rain,-5.0942,-42.8367,Hotel Cocais
222,Barra Patuca,HN,73.47,clear sky,15.8,-84.2833,No hotel found
224,Saint-Leu,RE,84.31,overcast clouds,-21.15,55.2833,Iloha Seaview Hôtel
225,Manali,IN,80.69,broken clouds,13.1667,80.2667,No hotel found
226,Libertador General San Martin,AR,79.03,broken clouds,-23.8064,-64.7876,Hosteria Real Victoria
230,Puerto Colombia,CO,78.89,few clouds,10.9878,-74.9547,Hotel Puerto Colombia
235,Nuevo Laredo,MX,70.07,clear sky,27.4763,-99.5164,Best Western Plus
236,Byron Bay,AU,81.72,clear sky,-28.65,153.6167,Lord Byron Resort
237,Colatina,BR,70.47,few clouds,-19.5394,-40.6306,Plaza Hotel
238,San Patricio,US,72.07,overcast clouds,28.017,-97.5169,No hotel found
240,Sao Miguel,BR,74.17,overcast clouds,-5.4667,-35.3667,No hotel found
242,Paita,PE,70.11,overcast clouds,-5.0892,-81.1144,Victor's
244,Bodden Town,KY,74.93,clear sky,19.2833,-81.25,Turtle Nest Inn
245,Sur,OM,76.69,clear sky,22.5667,59.5289,Sur Hotel
259,Ballina,AU,81.79,clear sky,-28.8667,153.5667,Ballina Beach Resort
262,Grand Gaube,MU,83.37,overcast clouds,-20.0064,57.6608,Coco Villa
265,Cagliliog,PH,75.9,moderate rain,13.9016,123.2913,No hotel found
267,Tarapur,IN,77.11,clear sky,19.85,72.7,No hotel found
269,Muisne,EC,75.33,overcast clouds,0.6,-80.0333,Hostal Té de Menta
271,Porto Novo,BJ,76.82,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
273,Ndele,CF,71.42,overcast clouds,8.4109,20.6473,No hotel found
275,Ranong,TH,87.73,broken clouds,9.9658,98.6348,Rattana Sin Hotel
276,Urupes,BR,70.93,overcast clouds,-21.2017,-49.29,No hotel found
282,Carutapera,BR,73.33,overcast clouds,-1.195,-46.02,No hotel found
293,Kavaratti,IN,80.51,broken clouds,10.5669,72.642,No hotel found
